"　　　　車站
日期",出站,進站
台北車站,228713 ,247112 
西門,132784 ,128617 
市政府,148885 ,118167 
台北101/世貿,129592 ,83360 
板橋,70123 ,72021 
忠孝復興,65305 ,69802 
淡水,55203 ,56332 
忠孝敦化,50942 ,52488 
中山,49113 ,48653 
劍潭,45397 ,47726 
國父紀念館,63561 ,47004 
忠孝新生,35045 ,39396 
龍山寺,37530 ,39239 
象山,33169 ,39051 
南港展覽館,37223 ,38843 
新埔,34953 ,38299 
公館,34955 ,37361 
府中,33479 ,37298 
信義安和,32088 ,36744 
頂溪,35925 ,36686 
松山,32047 ,34835 
士林,32994 ,32608 
永春,20154 ,32291 
中正紀念堂,31770 ,31462 
東門,30780 ,30220 
圓山,28596 ,29852 
南京復興,27063 ,27023 
劍南路,27871 ,26584 
永安市場,25142 ,25490 
古亭,24532 ,25461 
石牌,25025 ,24513 
江子翠,24121 ,24347 
大安,21279 ,24217 
南港,23143 ,24073 
景安,22674 ,23960 
行天宮,24087 ,23732 
芝山,24056 ,23273 
松江南京,24577 ,23131 
南京三民,21716 ,23112 
民權西路,20372 ,22341 
南勢角,21360 ,21601 
海山,20385 ,21216 
後山埤,18446 ,20195 
雙連,19598 ,19345 
台電大樓,18831 ,19211 
台北小巨蛋,17732 ,18885 
善導寺,18135 ,18116 
亞東醫院,16204 ,18043 
大坪林,17031 ,17855 
北投,18632 ,17295 
中山國小,17705 ,17158 
六張犁,12758 ,16606 
景美,16282 ,16345 
動物園,16955 ,15724 
七張,15085 ,15616 
大安森林公園,13371 ,14092 
永寧,13783 ,13910 
蘆洲,12463 ,13635 
徐匯中學,13293 ,13629 
新店,12662 ,13471 
三重國小,12742 ,13063 
大橋頭,10636 ,12865 
北門,11243 ,12803 
三民高中,12023 ,12778 
中山國中,12149 ,12663 
三和國中,11633 ,12540 
台北橋,12475 ,12150 
昆陽,11349 ,12109 
新北投,11438 ,12004 
台大醫院,14516 ,11808 
新莊,13114 ,11629 
迴龍,11274 ,11365 
科技大樓,10549 ,11221 
輔大,10513 ,10506 
丹鳳,9860 ,10348 
新店區公所,10691 ,10172 
萬芳醫院,10635 ,9942 
頂埔,9456 ,9787 
萬隆,9359 ,9743 
內湖,9414 ,9618 
關渡,9698 ,9356 
明德,8849 ,9307 
菜寮,9247 ,9076 
大直,8793 ,8929 
竹圍,8836 ,8774 
東湖,9095 ,8593 
奇岩,7134 ,8210 
港墘,7709 ,8006 
三重,7726 ,7780 
葫洲,7117 ,7719 
土城,7301 ,7646 
西湖,7274 ,7482 
唭哩岸,6363 ,6931 
紅樹林,6525 ,6607 
麟光,4973 ,5306 
文德,5226 ,5282 
頭前庄,5481 ,5280 
松山機場,4719 ,5166 
小南門,4862 ,4803 
南港軟體園區,3734 ,4244 
木柵,4422 ,4054 
大湖公園,3836 ,3924 
先嗇宮,3663 ,3546 
辛亥,3440 ,3530 
復興崗,3288 ,3269 
小碧潭,2505 ,2549 
萬芳社區,1990 ,2319 
忠義,1860 ,1956 
